scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,1,classical_interaction,True,True,,,-1.1102230246251565e-16,0.003404884837880373,0.15148530747556713,-0.2935063178142312,0.30031608748999195,0.003404884837880484,True,0.0050813696997224385
constant_risk_difference,1,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=179, divergences=0",,-1.1102230246251565e-16,0.006894600663187405,0.03889323763666903,-0.08303103759545873,0.0831377656607951,0.006894600663187516,True,0.0005161514942238545
constant_risk_difference,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.008683246878881445,0.10895512855697936,-0.222235298850561,0.20486880509279812,-0.008683246878881334,True,0.002723702390002478
constant_risk_difference,2,classical_interaction,True,True,,,-1.1102230246251565e-16,0.1621317029904225,0.1452035792966139,-0.12246731243094072,0.44673071841178574,0.16213170299042262,True,0.007265695668833067
constant_risk_difference,2,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=265, divergences=0",,-1.1102230246251565e-16,0.013224738446550074,0.03449835581209792,-0.051953383653638927,0.08542067509101113,0.013224738446550185,True,0.004824199190028232
constant_risk_difference,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.05844007391239742,0.11728043251236839,-0.17142957381184462,0.2883097216366395,0.05844007391239753,True,0.006917122323458745
constant_risk_difference,3,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.11103216185168935,0.11660336898616154,-0.33957476506456596,0.11751044136118727,-0.11103216185168924,True,0.008296041948997966
constant_risk_difference,3,bayesian_hierarchical,True,False,"prior scale=1, max R-hat=1.040, minimum bulk ESS=67, divergences=8",,-1.1102230246251565e-16,-0.0025371081748853676,0.04654067444542297,-0.1146339144847011,0.07024311239479132,-0.0025371081748852566,True,0.0011480075330681573
constant_risk_difference,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.004411882787578092,0.09835797670788386,-0.19719351713503047,0.1883697515598743,-0.004411882787577981,True,0.005406768295765255
constant_risk_difference,4,classical_interaction,True,True,,,-1.1102230246251565e-16,0.0674242872946419,0.11302209206225675,-0.15409901314738134,0.2889475877366651,0.067424287294642,True,0.005454967803550015
constant_risk_difference,4,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=304, divergences=0",,-1.1102230246251565e-16,0.014276213977046691,0.04189206827129606,-0.06247284501588569,0.10365411827338905,0.014276213977046802,True,0.0010417551696867621
constant_risk_difference,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.03204620283660731,0.10567392529359723,-0.17507469073884327,0.23916709641205788,0.03204620283660742,True,0.0037102355493972457
constant_risk_difference,5,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.0021591314910811565,0.11529204340551215,-0.22813153656588497,0.22381327358372266,-0.0021591314910810455,True,0.004596135632262832
constant_risk_difference,5,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=250, divergences=0",,-1.1102230246251565e-16,0.00851945497823991,0.03456836120035595,-0.06508886216529501,0.07831910203271522,0.008519454978240021,True,0.0008958374602139313
constant_risk_difference,5,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.0005452728919211891,0.11525969543315247,-0.22536373015705766,0.22645427594090003,0.0005452728919213001,True,0.0035609328509802517
constant_risk_difference,6,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.05606397179968153,0.15026688179433692,-0.3505870601165819,0.23845911651721885,-0.05606397179968142,True,0.004833227231904092
constant_risk_difference,6,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=232, divergences=0",,-1.1102230246251565e-16,-0.001839936146858911,0.04540195836603897,-0.11163560186039825,0.07034046445610671,-0.0018399361468588,True,0.0005858366896909832
constant_risk_difference,6,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.009839553607977947,0.11228362015094716,-0.2102363418878785,0.22991544910383438,0.009839553607978058,True,0.0025194910550969457
constant_risk_difference,7,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.09892371558686575,0.12286548931901636,-0.33974007465213785,0.14189264347840633,-0.09892371558686563,True,0.004789212121058464
constant_risk_difference,7,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=255, divergences=0",,-1.1102230246251565e-16,0.0028442944863085345,0.044976576152232196,-0.09880537694894787,0.07913263798308848,0.0028442944863086455,True,0.0029368921256544313
constant_risk_difference,7,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.017036037728064946,0.09618739674379424,-0.20556333534590165,0.17149125988977176,-0.017036037728064835,True,0.005218573919067753
constant_risk_difference,8,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.06512810690768633,0.12004984388957975,-0.30042580093126264,0.17016958711588998,-0.06512810690768622,True,0.002523949158494958
constant_risk_difference,8,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=254, divergences=0",,-1.1102230246251565e-16,-0.0043855015138305085,0.04370781628539235,-0.10633787580441247,0.06972076729392301,-0.0043855015138303975,True,0.0009952900007917796
constant_risk_difference,8,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.0246866879708304,0.10619270924494342,-0.2328243980909195,0.1834510221492587,-0.02468668797083029,True,0.0021701393363884433
constant_risk_difference,9,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.06642645216532927,0.13432202888394953,-0.32969762877787034,0.1968447244472118,-0.06642645216532916,True,0.0049717558535324466
constant_risk_difference,9,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=264, divergences=0",,-1.1102230246251565e-16,0.00819424421191283,0.041291592347341165,-0.08852575444833215,0.07985893672481657,0.008194244211912942,True,0.0024346943610639568
constant_risk_difference,9,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.03571799628021782,0.11732817819314326,-0.2656812255387786,0.19424523297834295,-0.03571799628021771,True,0.004754299518831584
constant_risk_difference,10,classical_interaction,True,True,,,-1.1102230246251565e-16,0.09337475631043302,0.13305885860335337,-0.16742060655213958,0.3541701191730056,0.09337475631043313,True,0.008943518701898584
constant_risk_difference,10,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=185, divergences=0",,-1.1102230246251565e-16,0.011246971266669762,0.04737422298142666,-0.08286401783504409,0.11280414703458394,0.011246971266669873,True,0.003067670804258904
constant_risk_difference,10,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.04592375122697179,0.11784767215950831,-0.18505768620566448,0.27690518865960806,0.0459237512269719,True,0.0037448959039416752
constant_risk_difference,11,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.01900987416144062,0.13604894177267343,-0.28566580003588055,0.2476460517129993,-0.01900987416144051,True,0.004475089822153539
