attempted_replications,usable_replications,failure_rate,nonconvergence_rate,subgroup_difference_truth,subgroup_difference_bias,subgroup_difference_rmse,subgroup_difference_coverage,subgroup_difference_coverage_mcse,cate_rmse,scenario,method,scenario_label,method_label
500,500,0.0,0.0,-1.1102230246251563e-16,0.002577998231876714,0.1326393857558875,0.94,0.010620734437881408,0.08563556197478582,constant_risk_difference,classical_interaction,Constant effect,Classical interaction
500,484,0.0,0.032,-1.1102230246251563e-16,0.0031278401998313956,0.018027040567891627,1.0,0.0,0.055715052957667675,constant_risk_difference,bayesian_hierarchical,Constant effect,Bayesian hierarchical
500,500,0.0,0.0,-1.1102230246251563e-16,0.0013643272612685038,0.036911390494864686,1.0,0.0,0.06735345617583839,constant_risk_difference,causal_forest,Constant effect,Causal forest
500,500,0.0,0.0,-0.2048926551026362,0.0013220809212147575,0.1514280931479436,0.912,0.012669333052690657,0.0873472250531751,simple_age_subgroup,classical_interaction,Age subgroup,Classical interaction
500,488,0.0,0.024,-0.2048926551026362,0.1610405182839881,0.16513018214134834,0.22540983606557377,0.01891526845916019,0.07049066369810289,simple_age_subgroup,bayesian_hierarchical,Age subgroup,Bayesian hierarchical
500,500,0.0,0.0,-0.2048926551026362,0.14852999093925107,0.16087024229017272,0.886,0.014212951839783317,0.07924062920611952,simple_age_subgroup,causal_forest,Age subgroup,Causal forest
500,500,0.0,0.0,-0.1766478682072401,-0.0035420610665880176,0.1420779098106206,0.924,0.01185107590052481,0.08659879273088815,published_heterogeneity,classical_interaction,Published additive,Classical interaction
500,489,0.0,0.022,-0.1766478682072401,0.1425842703791412,0.1456762725471235,0.24948875255623723,0.019568145042837486,0.07297915875248519,published_heterogeneity,bayesian_hierarchical,Published additive,Bayesian hierarchical
500,500,0.0,0.0,-0.1766478682072401,0.13402095586766138,0.1437284839096148,0.96,0.008763560920082661,0.08434212390146048,published_heterogeneity,causal_forest,Published additive,Causal forest
500,500,0.0,0.0,-0.2246543430589587,0.1387223172792015,0.16278525979304173,0.586,0.0220274374360705,0.0944709563809971,age_bmi_interaction,classical_interaction,Age and BMI interaction,Classical interaction
500,485,0.0,0.03,-0.2246543430589587,0.20354507137317365,0.2048186565547175,0.016494845360824743,0.005783511122298188,0.07082420158620024,age_bmi_interaction,bayesian_hierarchical,Age and BMI interaction,Bayesian hierarchical
500,500,0.0,0.0,-0.2246543430589587,0.1689281058641211,0.17687018747280775,0.808,0.017614539448989292,0.07882492829041615,age_bmi_interaction,causal_forest,Age and BMI interaction,Causal forest
500,500,0.0,0.0,0.0857914626227708,-0.023868256269279606,0.07939591027550111,0.922,0.01199299795714149,0.08873970752764655,continuous_heterogeneity,classical_interaction,Continuous,Classical interaction
500,487,0.0,0.026,0.0857914626227708,-0.03860504470815708,0.05292348004444961,0.9137577002053389,0.012720705810037486,0.06325738815283707,continuous_heterogeneity,bayesian_hierarchical,Continuous,Bayesian hierarchical
500,500,0.0,0.0,0.0857914626227708,-0.02968867462937306,0.06677333609433997,0.998,0.001997998998998749,0.07083196163397766,continuous_heterogeneity,causal_forest,Continuous,Causal forest
