scenario,replication,method,success,converged,diagnostic,error,subgroup_difference_truth,subgroup_difference_estimate,subgroup_difference_standard_error,subgroup_difference_lower,subgroup_difference_upper,subgroup_difference_error,subgroup_difference_covered,cate_mse
constant_risk_difference,1,classical_interaction,True,True,,,-1.1102230246251565e-16,0.003404884837880373,0.15148530747556713,-0.2935063178142312,0.30031608748999195,0.003404884837880484,True,0.0050813696997224385
constant_risk_difference,1,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=168, divergences=0",,-1.1102230246251565e-16,0.008214639596116964,0.037338896542523384,-0.07652552253292702,0.08189584478664814,0.008214639596117075,True,0.00045372059111502825
constant_risk_difference,1,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.00673202149101404,0.09383176863206107,-0.19064228800985372,0.17717824502782564,-0.006732021491013929,True,0.0013662303077601615
constant_risk_difference,2,classical_interaction,True,True,,,-1.1102230246251565e-16,0.1621317029904225,0.1452035792966139,-0.12246731243094072,0.44673071841178574,0.16213170299042262,True,0.007265695668833067
constant_risk_difference,2,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=250, divergences=0",,-1.1102230246251565e-16,0.01630663414594999,0.03418801693342159,-0.04821108768002817,0.09275334963535875,0.0163066341459501,True,0.004614906570206984
constant_risk_difference,2,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.030998040417519634,0.08788273633138229,-0.14125212279198965,0.20324820362702892,0.030998040417519745,True,0.005431284858645988
constant_risk_difference,3,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.11103216185168935,0.11660336898616154,-0.33957476506456596,0.11751044136118727,-0.11103216185168924,True,0.008296041948997966
constant_risk_difference,3,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.020, minimum bulk ESS=206, divergences=0",,-1.1102230246251565e-16,-0.006660083231019631,0.05014867851542801,-0.12846775339366837,0.06837728021704169,-0.00666008323101952,True,0.0012803358773250354
constant_risk_difference,3,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.0026566870768947037,0.07898289028897364,-0.15214977788949363,0.15746315204328304,0.0026566870768948148,True,0.003519235870387469
constant_risk_difference,4,classical_interaction,True,True,,,-1.1102230246251565e-16,0.0674242872946419,0.11302209206225675,-0.15409901314738134,0.2889475877366651,0.067424287294642,True,0.005454967803550015
constant_risk_difference,4,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=353, divergences=0",,-1.1102230246251565e-16,0.013029963223034527,0.042236758879296524,-0.06535948890085387,0.113338283499912,0.013029963223034638,True,0.0010088972891033506
constant_risk_difference,4,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02630971731548226,0.0755046289136111,-0.12167935535519547,0.17429878998616,0.026309717315482373,True,0.0021469433936646353
constant_risk_difference,5,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.0021591314910811565,0.11529204340551215,-0.22813153656588497,0.22381327358372266,-0.0021591314910810455,True,0.004596135632262832
constant_risk_difference,5,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=224, divergences=0",,-1.1102230246251565e-16,0.0055569255671633205,0.03309964322658509,-0.06561496632577435,0.06927029083589237,0.0055569255671634316,True,0.0009688595193762322
constant_risk_difference,5,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.002879449393960676,0.07837474654805725,-0.15073505384023153,0.15649395262815288,0.002879449393960787,True,0.001987285720580186
constant_risk_difference,6,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.05606397179968153,0.15026688179433692,-0.3505870601165819,0.23845911651721885,-0.05606397179968142,True,0.004833227231904092
constant_risk_difference,6,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=219, divergences=0",,-1.1102230246251565e-16,-0.005305783390517039,0.04431818345570721,-0.11340055434596062,0.06803804841268454,-0.005305783390516928,True,0.0006650855190613333
constant_risk_difference,6,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.009840838406014907,0.08970682859198116,-0.16598454563426818,0.185666222446298,0.009840838406015018,True,0.001333815709025316
constant_risk_difference,7,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.09892371558686575,0.12286548931901636,-0.33974007465213785,0.14189264347840633,-0.09892371558686563,True,0.004789212121058464
constant_risk_difference,7,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=392, divergences=0",,-1.1102230246251565e-16,0.004149160908435252,0.04366586699250568,-0.09478253576761139,0.08279490251031583,0.004149160908435363,True,0.0030280995223513694
constant_risk_difference,7,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.011911226333275016,0.08019893320924926,-0.16910113542340355,0.14527868275685352,-0.011911226333274905,True,0.00324446176785405
constant_risk_difference,8,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.06512810690768633,0.12004984388957975,-0.30042580093126264,0.17016958711588998,-0.06512810690768622,True,0.002523949158494958
constant_risk_difference,8,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=223, divergences=0",,-1.1102230246251565e-16,0.0005304869791318001,0.04300646382554493,-0.09590572538744711,0.08246502149659707,0.0005304869791319111,True,0.0010154076035173705
constant_risk_difference,8,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.021110781558983382,0.07766521208112091,-0.17333459723798036,0.1311130341200136,-0.02111078155898327,True,0.0010238359087286107
constant_risk_difference,9,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.06642645216532927,0.13432202888394953,-0.32969762877787034,0.1968447244472118,-0.06642645216532916,True,0.0049717558535324466
constant_risk_difference,9,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=253, divergences=0",,-1.1102230246251565e-16,0.0061301087193517826,0.043036774414521355,-0.09871228790739964,0.08583092870359181,0.006130108719351894,True,0.0024103424090794914
constant_risk_difference,9,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,-0.029332459633452823,0.09641612415898304,-0.2183080629850596,0.15964314371815394,-0.029332459633452712,True,0.003389521740486819
constant_risk_difference,10,classical_interaction,True,True,,,-1.1102230246251565e-16,0.09337475631043302,0.13305885860335337,-0.16742060655213958,0.3541701191730056,0.09337475631043313,True,0.008943518701898584
constant_risk_difference,10,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=187, divergences=0",,-1.1102230246251565e-16,0.010711442928845504,0.04337481735076975,-0.0763552710705852,0.1048202792922043,0.010711442928845615,True,0.002920082132536704
constant_risk_difference,10,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.02940679261892898,0.08791522056945644,-0.14290703969720564,0.2017206249350636,0.02940679261892909,True,0.0016086057826652774
constant_risk_difference,11,classical_interaction,True,True,,,-1.1102230246251565e-16,-0.01900987416144062,0.13604894177267343,-0.28566580003588055,0.2476460517129993,-0.01900987416144051,True,0.004475089822153539
constant_risk_difference,11,bayesian_hierarchical,True,True,"prior scale=1, max R-hat=1.010, minimum bulk ESS=278, divergences=0",,-1.1102230246251565e-16,0.00643965854072818,0.034095139457220536,-0.06558392971983557,0.07593453557063236,0.006439658540728291,True,0.001443716602587279
constant_risk_difference,11,causal_forest,True,True,Approximate interval with subgroup covariance omitted,,-1.1102230246251565e-16,0.005798291100059361,0.0899649388972332,-0.1705329891385177,0.18212957133863641,0.005798291100059472,True,0.0025705931066657855
