attempted_replications,usable_replications,failure_rate,nonconvergence_rate,subgroup_difference_truth,subgroup_difference_bias,subgroup_difference_rmse,subgroup_difference_coverage,subgroup_difference_coverage_mcse,cate_rmse,scenario,method,scenario_label,method_label
500,500,0.0,0.0,-1.1102230246251565e-16,0.002577998231876715,0.13263938575588752,0.94,0.010620734437881408,0.08563556197478611,constant_risk_difference,classical_interaction,Constant effect,Classical interaction
500,494,0.0,0.012,-1.1102230246251565e-16,0.0030560716473467184,0.017662015990542696,1.0,0.0,0.05529543505572894,constant_risk_difference,bayesian_hierarchical,Constant effect,Bayesian hierarchical
500,500,0.0,0.0,-1.1102230246251565e-16,0.0006599517938383522,0.027257366030858498,1.0,0.0,0.054018924822229364,constant_risk_difference,causal_forest,Constant effect,Causal forest
500,500,0.0,0.0,-0.20489265510263627,0.0013220809212147557,0.15142809314794362,0.912,0.012669333052690657,0.08734722505317538,simple_age_subgroup,classical_interaction,Age subgroup,Classical interaction
500,497,0.0,0.006,-0.20489265510263627,0.1612550452465505,0.16527868356338035,0.23943661971830985,0.01914188917635345,0.07055578358554833,simple_age_subgroup,bayesian_hierarchical,Age subgroup,Bayesian hierarchical
500,500,0.0,0.0,-0.20489265510263627,0.17102001151741764,0.17664217651280428,0.456,0.022273930950777416,0.07110546555392508,simple_age_subgroup,causal_forest,Age subgroup,Causal forest
500,500,0.0,0.0,-0.1766478682072401,-0.0035420610665880163,0.14207790981062063,0.924,0.01185107590052481,0.08659879273088843,published_heterogeneity,classical_interaction,Published additive,Classical interaction
500,496,0.0,0.008,-0.1766478682072401,0.14244179748226476,0.14554987279132234,0.25201612903225806,0.01949482973950496,0.07305566498189814,published_heterogeneity,bayesian_hierarchical,Published additive,Bayesian hierarchical
500,500,0.0,0.0,-0.1766478682072401,0.15137786036119855,0.1557121645693976,0.658,0.021214900423994452,0.07729934556694407,published_heterogeneity,causal_forest,Published additive,Causal forest
500,500,0.0,0.0,-0.2246543430589587,0.13872231727920153,0.16278525979304176,0.586,0.0220274374360705,0.09447095638099738,age_bmi_interaction,classical_interaction,Age and BMI interaction,Classical interaction
500,494,0.0,0.012,-0.2246543430589587,0.20381146083905718,0.20506641297117262,0.008097165991902834,0.00403215865644869,0.07079556729309493,age_bmi_interaction,bayesian_hierarchical,Age and BMI interaction,Bayesian hierarchical
500,500,0.0,0.0,-0.2246543430589587,0.18552019286675558,0.19003165975312397,0.368,0.021567382780485908,0.06957035269567684,age_bmi_interaction,causal_forest,Age and BMI interaction,Causal forest
500,500,0.0,0.0,0.08579146262277082,-0.023868256269279613,0.07939591027550115,0.922,0.01199299795714149,0.08873970752764683,continuous_heterogeneity,classical_interaction,Continuous,Classical interaction
500,496,0.0,0.008,0.08579146262277082,-0.03857237528995127,0.05298616038963187,0.907258064516129,0.01302454792158431,0.0635063171836252,continuous_heterogeneity,bayesian_hierarchical,Continuous,Bayesian hierarchical
500,500,0.0,0.0,0.08579146262277082,-0.037267927573479125,0.06348289027656438,0.996,0.002822764602300377,0.05950063602761016,continuous_heterogeneity,causal_forest,Continuous,Causal forest
